Influencer_ID,Name,Platform,Followers,Engagement_Rate,Niche,Avg_Likes,Avg_Comments,Audience_Age,Audience_Location,Past_Brand_Collabs,Fraud_Score,Male_Percentage,Female_Percentage
62,Influencer_62,YouTube,968303,2.33,Finance,22561,902,27-33,France,"Samsung, Zara",4,40.0,58.0
63,Influencer_63,YouTube,414682,4.6,Tech,19075,1192,27-38,USA,"Nike, Sony",9,83.0,17.0
64,Influencer_64,YouTube,322546,7.74,Beauty,24965,832,25-40,South Korea,"H&M, Coca-Cola",2,46.0,14.0
65,Influencer_65,Twitter,902362,5.72,Fashion,51615,2346,24-45,South Korea,Nike,3,81.0,28.0
66,Influencer_66,TikTok,697853,7.11,Beauty,49617,3544,24-34,Brazil,"Zara, Tesla",1,68.0,59.0
67,Influencer_67,Twitter,99008,8.83,Tech,8742,380,16-27,Canada,"Nike, Sony, Uber Eats",5,41.0,41.0
68,Influencer_68,Instagram,877824,9.32,Fitness,81813,3408,23-40,Australia,"Coca-Cola, Samsung, Tesla",1,61.0,36.0
69,Influencer_69,TikTok,833841,2.26,Fitness,18844,753,21-39,Australia,"Zara, Apple, Coca-Cola",4,65.0,50.0
70,Influencer_70,Twitter,453186,9.65,Lifestyle,43732,1619,18-26,Australia,"Samsung, Tesla",9,79.0,35.0
71,Influencer_71,Instagram,230489,4.98,Travel,11478,425,22-43,Canada,H&M,5,63.0,48.0
72,Influencer_72,TikTok,294453,6.01,Fitness,17696,1608,18-26,India,"Adidas, H&M, Tesla",1,45.0,47.0
73,Influencer_73,Instagram,783610,9.43,Fashion,73894,3078,19-28,South Korea,"Samsung, H&M",8,84.0,35.0
74,Influencer_74,TikTok,119297,2.28,Fashion,2719,104,22-43,France,"Zara, L'Oreal",8,84.0,53.0
75,Influencer_75,Instagram,629501,8.04,Finance,50611,2410,26-35,UK,"Tesla, H&M, Coca-Cola",6,47.0,29.0
76,Influencer_76,YouTube,724192,9.9,Finance,71695,2757,19-35,Brazil,Coca-Cola,8,62.0,15.0
77,Influencer_77,TikTok,684720,7.55,Music,51696,2067,27-39,Australia,H&M,3,89.0,27.0
78,Influencer_78,Twitter,748171,8.95,Music,66961,2911,27-43,India,Apple,9,71.0,43.0
79,Influencer_79,TikTok,388189,7.78,Gaming,30201,1589,29-38,France,"Nike, Zara, Adidas",10,52.0,20.0
80,Influencer_80,YouTube,852955,2.97,Fitness,25332,2533,23-43,India,Tesla,9,65.0,60.0
81,Influencer_81,TikTok,841660,4.98,Food,41914,1995,17-44,India,"Tesla, Coca-Cola",2,81.0,42.0
82,Influencer_82,Twitter,735955,4.45,Travel,32749,2183,19-32,Germany,"Tesla, Nike",10,62.0,50.0
83,Influencer_83,YouTube,95946,1.76,Finance,1688,76,16-44,USA,Tesla,8,76.0,27.0
84,Influencer_84,Twitter,696454,6.57,Food,45757,4575,30-28,UK,"Adidas, Sony",7,67.0,38.0
85,Influencer_85,Instagram,520138,7.49,Fashion,38958,1558,24-30,UK,"L'Oreal, H&M",10,60.0,53.0
86,Influencer_86,Instagram,414166,2.28,Gaming,9442,786,21-28,Germany,"L'Oreal, Sony",2,61.0,36.0
87,Influencer_87,Instagram,514329,5.52,Fashion,28390,1091,23-31,India,"Uber Eats, Sony, Nike",4,75.0,54.0
88,Influencer_88,Instagram,603079,8.24,Fashion,49693,3549,23-29,Australia,"Uber Eats, Coca-Cola, Apple",4,51.0,44.0
89,Influencer_89,YouTube,404523,7.89,Tech,31916,1387,24-26,Australia,Sony,1,42.0,46.0
90,Influencer_90,Twitter,30896,2.1,Fashion,648,40,20-44,Germany,"Zara, Samsung, Uber Eats",9,74.0,57.0
91,Influencer_91,YouTube,212370,6.75,Lifestyle,14334,895,30-45,UK,Tesla,7,56.0,29.0
92,Influencer_92,Instagram,981829,9.81,Finance,96317,3210,17-26,France,"Samsung, Sony, Apple",4,55.0,30.0
93,Influencer_93,Instagram,920983,2.68,Finance,24682,914,29-33,Japan,"Samsung, L'Oreal, Zara",9,64.0,24.0
94,Influencer_94,Instagram,403383,8.96,Travel,36143,1445,23-36,India,"H&M, Samsung, Tesla",8,41.0,30.0
95,Influencer_95,Instagram,61476,8.14,Fitness,5004,250,24-35,USA,"Coca-Cola, L'Oreal",4,73.0,30.0
96,Influencer_96,Instagram,272898,3.73,Gaming,10179,678,21-43,USA,"Apple, Sony",4,82.0,41.0
97,Influencer_97,YouTube,794562,9.82,Tech,78025,7093,21-43,Brazil,"L'Oreal, Coca-Cola, Adidas",1,60.0,14.0
98,Influencer_98,Instagram,382097,2.32,Food,8864,554,28-45,UK,Samsung,8,68.0,15.0
99,Influencer_99,Instagram,560026,9.39,Fitness,52586,1752,23-25,Germany,"Samsung, L'Oreal",6,41.0,27.0
100,Influencer_100,Twitter,135876,7.03,Lifestyle,9552,561,22-26,France,"L'Oreal, Sony",10,80.0,44.0
